Zeit [s],Leistung [kW]
602.0,-1.0
602.5,-1.1
603.0,-1.1
603.5,-1.1
604.0,-1.1
604.5,-1.1
605.0,-1.1
605.5,-1.1
606.0,-1.1
606.5,-1.1
607.0,-1.1
607.5,-1.6
608.0,0.2
608.5,-0.6
609.0,-1.6
609.5,-1.4
610.0,-2.2
610.5,-2.5
611.0,-2.5
611.5,-2.0
612.0,0.0
612.5,0.0
613.0,0.0
613.5,0.0
614.0,0.0
614.5,0.0
615.0,0.0
615.5,0.0
616.0,0.0
616.5,0.0
617.0,0.0
617.5,0.0
618.0,0.0
618.5,0.0
619.0,0.0
619.5,0.0
620.0,0.0
620.5,0.0
621.0,0.0
621.5,0.0
622.0,0.0
622.5,0.0
623.0,0.0
623.5,0.0
624.0,0.0
624.5,0.0
625.0,0.0
625.5,0.0
626.0,0.0
626.5,0.0
627.0,0.0
627.5,0.0
628.0,0.0
628.5,0.0
629.0,0.0
629.5,0.0
630.0,0.0
630.5,0.0
631.0,0.0
631.5,0.0
632.0,0.0
632.5,0.0
633.0,0.0
633.5,0.0
634.0,0.0
634.5,0.1
635.0,9.7
635.5,2.2
636.0,0.2
636.5,3.2
637.0,2.4
637.5,1.5
638.0,1.9
638.5,1.9
639.0,2.7
639.5,1.6
640.0,1.6
640.5,2.5
641.0,-2.8
641.5,0.0
642.0,5.5
642.5,4.0
643.0,4.0
643.5,4.7
644.0,4.8
644.5,4.2
645.0,2.2
645.5,2.1
646.0,0.7
646.5,0.0
647.0,3.4
647.5,-0.6
648.0,-0.6
648.5,-0.6
649.0,-0.6
649.5,-0.6
650.0,-0.6
650.5,-0.6
651.0,-0.6
651.5,-0.6
652.0,0.8
652.5,0.6
653.0,0.3
653.5,0.0
654.0,-0.1
654.5,-0.1
655.0,-0.1
655.5,-0.1
656.0,-0.2
656.5,-0.2
657.0,-0.2
657.5,-0.2
658.0,-0.2
658.5,-0.2
659.0,-0.2
659.5,-0.2
660.0,-0.2
660.5,-0.2
661.0,-0.2
661.5,-0.2
662.0,-0.2
662.5,-0.2
663.0,-0.2
663.5,-0.2
664.0,-0.2
664.5,-0.2
665.0,-0.2
665.5,-0.2
666.0,-0.2
666.5,-0.2
667.0,-0.2
667.5,-0.2
668.0,-0.2
668.5,-0.2
669.0,-0.2
669.5,-0.5
670.0,0.6
670.5,-3.3
671.0,-4.0
671.5,-7.6
672.0,-5.4
672.5,-8.5
673.0,-4.6
673.5,-1.8
674.0,-4.7
674.5,-2.1
675.0,-4.3
675.5,-2.1
676.0,0.0
676.5,2.8
677.0,-0.8
677.5,-1.9
678.0,-2.5
678.5,-2.6
679.0,-2.5
679.5,-1.8
680.0,0.0
680.5,0.0
681.0,0.0
681.5,0.0
682.0,0.0
682.5,0.0
683.0,0.0
683.5,0.0
684.0,0.0
684.5,0.0
685.0,0.0
685.5,0.0
686.0,0.0
686.5,0.0
687.0,0.0
687.5,0.0
688.0,0.0
688.5,0.0
689.0,0.0
689.5,0.0
690.0,0.0
690.5,0.0
691.0,0.0
691.5,0.0
692.0,0.0
692.5,0.0
693.0,0.0
693.5,0.0
694.0,0.0
694.5,0.0
695.0,0.0
695.5,0.0
696.0,0.0
696.5,0.0
697.0,0.0
697.5,0.0
698.0,0.0
698.5,0.0
699.0,0.0
699.5,0.0
700.0,0.0
700.5,0.0
701.0,0.0
701.5,0.0
702.0,0.0
702.5,0.0
703.0,9.5
703.5,1.7
704.0,0.0
704.5,2.9
705.0,2.3
705.5,1.5
706.0,1.8
706.5,1.8
707.0,2.4
707.5,1.5
708.0,1.4
708.5,1.6
709.0,1.5
709.5,-0.2
710.0,1.8
710.5,1.4
711.0,1.7
711.5,1.6
712.0,1.5
712.5,1.5
713.0,1.2
713.5,1.1
714.0,1.2
714.5,1.2
715.0,-2.1
715.5,0.0
716.0,6.1
716.5,4.6
717.0,3.5
717.5,2.8
718.0,2.8
718.5,2.8
719.0,2.9
719.5,2.6
720.0,2.5
720.5,2.6
721.0,2.6
721.5,2.6
722.0,2.5
722.5,2.3
723.0,2.2
723.5,2.1
724.0,1.9
724.5,1.7
725.0,1.6
725.5,1.6
726.0,1.6
726.5,1.7
727.0,1.7
727.5,1.3
728.0,0.1
728.5,0.0
729.0,3.8
729.5,0.2
730.0,-0.3
730.5,-0.1
731.0,0.0
731.5,0.4
732.0,0.5
732.5,0.6
733.0,0.7
733.5,0.7
734.0,0.8
734.5,0.8
735.0,0.8
735.5,0.8
736.0,0.8
736.5,0.8
737.0,0.8
737.5,0.8
738.0,0.8
738.5,0.8
739.0,0.8
739.5,0.3
740.0,-1.6
740.5,-2.1
741.0,-5.8
741.5,-5.6
742.0,-5.4
742.5,-5.2
743.0,-5.0
743.5,-4.9
744.0,-4.8
744.5,-4.7
745.0,-4.6
745.5,-5.0
746.0,0.0
746.5,-4.5
747.0,-0.7
747.5,-1.3
748.0,0.9
748.5,-0.7
749.0,0.8
749.5,0.7
750.0,0.5
750.5,0.2
751.0,0.0
751.5,-0.1
752.0,-0.1
752.5,-0.1
753.0,-0.1
753.5,-0.1
754.0,-0.2
754.5,-0.2
755.0,-0.2
755.5,-0.2
756.0,-0.2
756.5,-0.2
757.0,-0.2
757.5,-0.2
758.0,-0.2
758.5,-0.2
759.0,-0.2
759.5,-0.2
760.0,-0.2
760.5,-0.4
761.0,-1.6
761.5,-0.1
762.0,-1.8
762.5,-2.3
763.0,-4.5
763.5,-7.4
764.0,-8.0
764.5,-7.4
765.0,0.0
765.5,-5.7
766.0,-2.1
766.5,-4.5
767.0,-4.5
767.5,-4.1
768.0,0.0
768.5,-4.7
769.0,3.2
769.5,0.0
770.0,-2.6
770.5,-2.6
771.0,-2.8
771.5,-2.9
772.0,0.0
772.5,0.0
773.0,0.0
773.5,0.0
774.0,0.0
774.5,0.0
775.0,0.0
775.5,0.0
776.0,0.0
776.5,0.0
777.0,0.0
777.5,0.0
778.0,0.0
778.5,0.0
779.0,0.0
779.5,0.0
780.0,0.0
780.5,0.0
781.0,0.0
781.5,0.0
782.0,0.0
782.5,0.0
783.0,0.0
783.5,0.0
784.0,0.0
784.5,0.0
785.0,0.0
785.5,0.0
786.0,0.0
786.5,0.0
787.0,0.0
787.5,0.0
788.0,0.0
788.5,0.0
789.0,0.0
789.5,0.0
790.0,0.0
790.5,0.0
791.0,0.0
791.5,0.0
792.0,0.0
792.5,0.0
793.0,0.0
793.5,0.0
794.0,0.0
794.5,0.0
795.0,0.0
795.5,0.0
796.0,0.0
796.5,0.0
797.0,0.0
797.5,0.0
798.0,0.0
798.5,0.0
799.0,0.0
799.5,0.0
800.0,0.0
800.5,0.0
801.0,9.9
801.5,3.0
802.0,0.5
802.5,3.5
803.0,2.5
803.5,1.5
804.0,1.8
804.5,2.1
805.0,3.6
805.5,1.9
806.0,1.5
806.5,1.6
807.0,1.7
807.5,0.0
808.0,1.9
808.5,1.2
809.0,1.8
809.5,1.7
810.0,1.8
810.5,2.3
811.0,1.7
811.5,1.2
812.0,1.3
812.5,1.3
813.0,-2.8
813.5,0.0
814.0,6.2
814.5,4.8
815.0,3.5
815.5,2.9
816.0,2.8
816.5,2.9
817.0,2.7
817.5,2.1
818.0,2.0
818.5,2.0
819.0,2.1
819.5,2.1
820.0,2.1
820.5,2.0
821.0,2.0
821.5,1.9
822.0,1.9
822.5,1.8
823.0,1.7
823.5,1.6
824.0,1.5
824.5,1.5
825.0,1.5
825.5,1.4
826.0,1.3
826.5,1.2
827.0,1.2
827.5,0.9
828.0,0.0
828.5,4.8
829.0,1.4
829.5,1.2
830.0,0.9
830.5,1.2
831.0,1.6
831.5,1.5
832.0,1.4
832.5,1.5
833.0,1.5
833.5,1.6
834.0,1.6
834.5,1.6
835.0,1.7
835.5,1.8
836.0,2.3
836.5,3.0
837.0,3.2
837.5,2.4
838.0,1.7
838.5,1.5
839.0,1.4
839.5,-0.3
840.0,0.0
840.5,1.1
841.0,0.8
841.5,1.1
842.0,1.0
842.5,0.6
843.0,0.6
843.5,0.6
844.0,0.6
844.5,0.6
845.0,0.6
845.5,0.6
846.0,0.6
846.5,0.6
847.0,0.6
847.5,0.6
848.0,0.6
848.5,0.6
849.0,0.6
849.5,0.6
850.0,0.6
850.5,0.6
851.0,0.6
851.5,0.6
852.0,0.6
852.5,0.6
853.0,0.6
853.5,0.6
854.0,0.6
854.5,0.6
855.0,0.6
855.5,0.5
856.0,0.5
856.5,0.5
857.0,0.5
857.5,0.5
858.0,0.5
858.5,0.5
859.0,0.5
859.5,0.5
860.0,0.5
860.5,0.5
861.0,0.5
861.5,0.5
862.0,0.5
862.5,0.5
863.0,0.5
863.5,0.5
864.0,0.5
864.5,0.5
865.0,0.5
865.5,0.5
866.0,0.5
866.5,0.5
867.0,0.5
867.5,0.5
868.0,0.5
868.5,0.5
869.0,0.5
869.5,0.5
870.0,0.5
870.5,0.5
871.0,0.5
871.5,0.5
872.0,0.5
872.5,0.5
873.0,0.5
873.5,0.5
874.0,0.5
874.5,0.5
875.0,0.5
875.5,0.5
876.0,0.5
876.5,0.5
877.0,0.5
877.5,0.5
878.0,0.5
878.5,0.5
879.0,0.5
879.5,0.5
880.0,0.5
880.5,0.5
881.0,0.5
881.5,0.5
882.0,0.5
882.5,0.5
883.0,0.5
883.5,0.5
884.0,0.5
884.5,0.5
885.0,0.5
885.5,0.5
886.0,0.5
886.5,0.5
887.0,0.5
887.5,0.4
888.0,0.4
888.5,0.4
889.0,0.4
889.5,0.4
890.0,0.4
890.5,0.0
891.0,-1.6
891.5,-6.5
892.0,-8.5
892.5,-4.0
893.0,-8.3
893.5,-9.3
894.0,-9.4
894.5,-9.4
895.0,-9.3
895.5,-9.2
896.0,-9.0
896.5,-8.8
897.0,-1.1
897.5,-9.0
898.0,-5.8
898.5,-4.0
899.0,-5.1
899.5,-2.3
900.0,-1.6
900.5,1.1
901.0,1.0
901.5,1.0
902.0,0.9
902.5,0.9
903.0,0.9
903.5,0.9
904.0,0.9
904.5,0.9
905.0,0.9
905.5,0.8
906.0,0.8
906.5,0.8
907.0,0.8
907.5,0.8
908.0,0.8
908.5,0.8
909.0,0.8
909.5,0.8
910.0,0.8
910.5,0.8
911.0,0.7
911.5,0.7
912.0,0.7
912.5,0.7
913.0,0.9
913.5,0.9
914.0,0.9
914.5,0.9
915.0,0.9
915.5,0.9
916.0,0.9
916.5,0.9
917.0,0.9
917.5,0.9
918.0,0.8
918.5,0.8
919.0,0.8
919.5,0.8
920.0,0.8
920.5,0.8
921.0,0.8
921.5,0.8
922.0,0.8
922.5,0.8
923.0,0.8
923.5,0.8
924.0,0.8
924.5,0.8
925.0,0.8
925.5,0.8
926.0,0.8
926.5,0.8
927.0,0.8
927.5,0.7
928.0,0.7
928.5,0.7
929.0,0.7
929.5,0.7
930.0,0.7
930.5,0.7
931.0,0.7
931.5,0.7
932.0,0.7
932.5,0.7
933.0,0.7
933.5,0.7
934.0,0.7
934.5,0.7
935.0,0.7
935.5,0.7
936.0,0.7
936.5,0.7
937.0,0.7
937.5,0.7
938.0,0.6
938.5,0.6
939.0,0.6
939.5,0.6
940.0,0.6
940.5,0.6
941.0,0.6
941.5,0.6
942.0,0.6
942.5,0.6
943.0,0.6
943.5,0.6
944.0,0.6
944.5,0.6
945.0,0.6
945.5,0.6
946.0,0.6
946.5,0.6
947.0,0.6
947.5,0.6
948.0,0.6
948.5,0.6
949.0,0.6
949.5,0.6
950.0,0.6
950.5,0.5
951.0,0.5
951.5,0.5
952.0,0.5
952.5,0.5
953.0,0.5
953.5,0.5
954.0,0.5
954.5,0.5
955.0,0.5
955.5,0.5
956.0,0.5
956.5,0.5
957.0,0.5
957.5,0.5
958.0,0.5
958.5,0.5
959.0,0.5
959.5,0.5
960.0,0.5
960.5,0.5
961.0,0.5
961.5,0.5
962.0,0.5
962.5,0.5
963.0,0.5
963.5,0.5
964.0,0.5
964.5,0.5
965.0,0.5
965.5,0.5
966.0,0.5
966.5,0.5
967.0,0.5
967.5,0.6
968.0,0.9
968.5,1.9
969.0,0.9
969.5,0.9
970.0,0.8
970.5,0.8
971.0,0.7
971.5,0.7
972.0,0.7
972.5,0.7
973.0,0.7
973.5,0.6
974.0,0.6
974.5,0.7
975.0,0.7
975.5,0.7
976.0,0.7
976.5,0.6
977.0,0.6
977.5,0.6
978.0,0.5
978.5,0.5
979.0,0.1
979.5,0.0
980.0,0.0
980.5,-1.6
981.0,0.0
981.5,0.5
982.0,0.8
982.5,0.1
983.0,0.4
983.5,0.4
984.0,0.4
984.5,0.4
985.0,0.4
985.5,0.4
986.0,0.4
986.5,0.4
987.0,0.4
987.5,0.4
988.0,0.4
988.5,0.4
989.0,0.4
989.5,0.4
990.0,0.4
990.5,0.4
991.0,0.4
991.5,0.4
992.0,0.4
992.5,0.4
993.0,0.4
993.5,0.4
994.0,0.4
994.5,0.4
995.0,0.4
995.5,0.4
996.0,0.4
996.5,0.4
997.0,0.4
997.5,0.4
998.0,0.4
998.5,0.4
999.0,0.4
999.5,0.4
1000.0,0.4
1000.5,0.4
1001.0,0.4
1001.5,0.4
1002.0,0.4
1002.5,0.4
1003.0,0.4
1003.5,0.4
1004.0,0.4
1004.5,0.4
1005.0,0.4
1005.5,0.4
1006.0,0.4
1006.5,0.4
1007.0,0.4
1007.5,0.4
1008.0,0.4
1008.5,0.4
1009.0,0.4
1009.5,0.4
1010.0,0.4
1010.5,0.4
1011.0,0.4
1011.5,0.4
1012.0,0.4
1012.5,0.4
1013.0,0.4
1013.5,0.4
1014.0,0.4
1014.5,0.1
1015.0,0.1
1015.5,0.1
1016.0,0.1
1016.5,0.1
1017.0,0.1
1017.5,0.1
1018.0,0.1
1018.5,0.1
1019.0,0.1
1019.5,0.1
1020.0,0.1
1020.5,0.1
1021.0,0.1
1021.5,0.1
1022.0,0.1
1022.5,0.1
1023.0,0.1
1023.5,0.1
1024.0,0.1
1024.5,0.1
1025.0,0.1
1025.5,0.1
1026.0,0.1
1026.5,0.1
1027.0,0.1
1027.5,0.1
1028.0,0.1
1028.5,0.1
1029.0,0.1
1029.5,0.1
1030.0,0.1
1030.5,0.4
1031.0,0.8
1031.5,1.4
1032.0,0.6
1032.5,0.5
1033.0,0.5
1033.5,0.5
1034.0,0.5
1034.5,0.5
1035.0,0.5
1035.5,0.5
1036.0,0.5
1036.5,0.5
1037.0,0.5
1037.5,0.5
1038.0,0.5
1038.5,0.5
1039.0,0.5
1039.5,0.5
1040.0,0.5
1040.5,0.5
1041.0,0.5
1041.5,0.5
1042.0,0.5
1042.5,0.5
1043.0,0.4
1043.5,0.4
1044.0,0.1
1044.5,0.0
1045.0,0.0
1045.5,0.0
1046.0,-0.1
1046.5,-0.1
1047.0,-0.1
1047.5,-0.2
1048.0,-0.2
1048.5,-0.2
1049.0,-0.3
1049.5,-0.3
1050.0,-0.4
1050.5,-0.4
1051.0,-0.2
1051.5,-0.3
1052.0,-0.3
1052.5,-0.3
1053.0,-0.4
1053.5,-0.4
1054.0,-0.4
1054.5,-0.3
1055.0,-0.3
1055.5,-0.3
1056.0,-0.3
1056.5,-0.2
1057.0,-0.2
1057.5,-0.2
1058.0,-0.2
1058.5,-0.1
1059.0,-0.1
1059.5,-0.1
1060.0,0.0
1060.5,0.0
1061.0,7.7
1061.5,1.4
1062.0,1.1
1062.5,1.0
1063.0,1.1
1063.5,1.1
1064.0,1.0
1064.5,1.0
1065.0,1.0
1065.5,0.8
1066.0,0.0
1066.5,-0.6
1067.0,0.8
1067.5,0.8
1068.0,0.9
1068.5,0.9
1069.0,0.9
1069.5,0.9
1070.0,0.9
1070.5,0.9
1071.0,0.9
1071.5,0.9
1072.0,0.9
1072.5,0.9
1073.0,0.9
1073.5,0.9
1074.0,0.9
1074.5,0.9
1075.0,0.9
1075.5,0.9
1076.0,0.9
1076.5,0.9
1077.0,0.9
1077.5,0.9
1078.0,0.9
1078.5,0.9
1079.0,0.9
1079.5,0.9
1080.0,0.9
1080.5,0.9
1081.0,0.9
1081.5,0.9
1082.0,0.8
1082.5,0.8
1083.0,0.8
1083.5,0.8
1084.0,0.8
1084.5,0.8
1085.0,0.8
1085.5,0.8
1086.0,0.8
1086.5,0.8
1087.0,0.8
1087.5,0.8
1088.0,0.8
1088.5,0.8
1089.0,0.8
1089.5,0.8
1090.0,0.8
1090.5,0.8
1091.0,0.8
1091.5,0.8
1092.0,0.8
1092.5,0.8
1093.0,0.8
1093.5,0.8
1094.0,0.8
1094.5,0.8
1095.0,0.8
1095.5,0.9
1096.0,0.6
1096.5,1.0
1097.0,1.1
1097.5,0.9
1098.0,0.8
1098.5,0.8
1099.0,0.9
1099.5,0.9
1100.0,0.9
1100.5,0.9
1101.0,0.9
1101.5,0.9
1102.0,0.9
1102.5,0.9
1103.0,0.9
1103.5,0.9
1104.0,0.9
1104.5,0.8
1105.0,0.8
1105.5,0.8
1106.0,0.7
1106.5,0.7
1107.0,0.7
1107.5,0.6
1108.0,0.6
1108.5,0.6
1109.0,0.5
1109.5,0.5
1110.0,0.1
1110.5,0.1
1111.0,0.1
1111.5,0.0
1112.0,0.0
1112.5,0.0
1113.0,0.0
1113.5,-0.1
1114.0,-0.1
1114.5,-0.1
1115.0,-0.1
1115.5,-0.2
1116.0,-0.1
1116.5,-0.3
1117.0,-1.7
1117.5,-1.7
1118.0,-0.1
1118.5,0.1
1119.0,-0.3
1119.5,-0.5
1120.0,-1.2
1120.5,-1.8
1121.0,-2.2
1121.5,-2.4
1122.0,-2.5
1122.5,-2.6
1123.0,-2.6
1123.5,-2.6
1124.0,-2.5
1124.5,-2.3
1125.0,-2.3
1125.5,-1.4
1126.0,-1.0
1126.5,-3.7
1127.0,-6.6
1127.5,-10.2
1128.0,-7.2
1128.5,-3.8
1129.0,-6.4
1129.5,-8.0
1130.0,-8.8
1130.5,-8.9
1131.0,-9.2
1131.5,-9.9
1132.0,-10.1
1132.5,-10.0
1133.0,0.0
1133.5,-9.7
1134.0,-3.1
1134.5,-6.2
1135.0,-8.9
1135.5,-9.3
1136.0,-10.5
1136.5,-10.4
1137.0,0.0
1137.5,-10.8
1138.0,-3.0
1138.5,-5.5
1139.0,-8.4
1139.5,-9.3
1140.0,-10.1
1140.5,-11.0
1141.0,-11.1
1141.5,-11.0
1142.0,-10.9
1142.5,-10.8
1143.0,-10.6
1143.5,-10.5
1144.0,-9.8
1144.5,0.0
1145.0,-9.7
1145.5,-4.2
1146.0,-8.8
1146.5,-11.0
1147.0,-11.5
1147.5,-11.3
1148.0,-11.2
1148.5,-11.0
1149.0,-10.8
1149.5,-10.6
1150.0,-10.4
1150.5,-9.9
1151.0,-9.3
1151.5,-5.6
1152.0,-7.8
1152.5,-7.2
1153.0,-9.9
1153.5,-10.3
1154.0,-9.9
1154.5,-9.0
1155.0,-8.6
1155.5,-9.1
1156.0,-9.2
1156.5,-8.1
1157.0,0.0
1157.5,-9.0
1158.0,-6.6
1158.5,-3.9
1159.0,-4.1
1159.5,0.0
1160.0,0.0
1160.5,0.0
1161.0,0.0
1161.5,0.0
1162.0,0.0
1162.5,0.0
1163.0,0.0
1163.5,0.0
1164.0,0.0
1164.5,0.0
1165.0,0.0
1165.5,0.0
1166.0,0.0
1166.5,0.0
1167.0,0.0
1167.5,0.0
1168.0,0.0
1168.5,0.0
1169.0,0.0
1169.5,0.0
1170.0,0.0
1170.5,0.0
1171.0,0.0
1171.5,0.0
1172.0,0.0
1172.5,0.0
1173.0,0.0
1173.5,0.0
1174.0,0.0
1174.5,0.0
1175.0,0.0
1175.5,0.0
1176.0,0.0
1176.5,0.0
1177.0,0.0
1177.5,0.0
1178.0,0.0
1178.5,0.0
1179.0,0.0
1179.5,0.0
1180.0,0.0
